5.84	2.96	so i have um
9.20	4.08	i have some sheets
11.76	5.88	that i can share
13.28	4.36	that i'm using for fusion at least
19.12	6.40	for healer prio
21.52	4.00	i don't know if i can share the physical
25.60	3.20	and the caster ones
29.36	3.44	the healer one i'll definitely share
34.08	2.64	uh but i want to do
35.84	3.04	it's kind of want to go through
36.72	4.48	everything and just talk about
38.88	3.36	where stuff should go
41.20	3.28	um
42.24	3.68	where stuff
44.48	4.56	where there's like a lot of debate
45.92	3.12	happening where
49.44	3.44	something might be better for somebody
50.80	3.44	but depending on player over class you
52.88	2.80	go other stuff
54.24	3.76	um
55.68	5.20	i'm gonna turn
58.00	4.24	well there's a caster weight problem
60.88	4.72	hello
62.24	3.36	hey i had to make some coffee
66.88	3.60	i'm going to turn
69.60	3.12	up all right is this working can you
70.48	4.48	hear me can you hear me hello hello
72.72	4.48	i can hear you okay cool i just turned
74.96	2.24	uh
79.68	5.28	i just turned uh which we'll call it on
83.12	4.40	voice activity so
84.96	4.56	all right um so
87.52	5.52	battle just sent me their
89.52	4.72	casper prior sheet too so deary
93.04	4.40	i don't know if
94.24	5.20	you can have access to this or not
97.44	3.44	i don't have it but
99.44	2.64	i mean my impression was we were just
100.88	3.52	going to talk about it too yeah we're
102.08	4.00	just going to talk about it
104.40	3.36	these are my opinions the official
106.08	3.92	fusion companions they're just my
107.76	3.60	they're not official yeah they're
110.00	2.08	informed at least it's just open with
111.36	1.52	that
112.08	3.60	yeah
112.88	4.32	all of this all this is going to be
115.68	4.16	depending on
117.20	5.12	your guild right
119.84	3.68	playover class i think is the
122.32	2.56	is the
123.52	5.20	headline
124.88	5.92	and then there's some obvious stuff yeah
128.72	4.72	um
130.80	4.24	but for the most part like if if all
133.44	5.04	things are equal we can kind of go
135.04	5.44	through it and be like this is where
138.48	4.40	um
140.48	3.68	so this this should go first
142.88	3.68	um
144.16	3.84	but there's a ton of data that could
146.56	2.64	alter that right
148.00	4.32	um
149.20	6.00	but player over class i think is ideal
152.32	4.88	um can you guys see my screen on discord
155.20	4.64	yeah okay cool
157.20	4.40	um so
159.84	4.08	you know just get into it i guess we'll
161.60	4.80	start hydraulic black temple
163.92	5.04	i feel like there's more in black temple
166.40	4.00	so like you could start hyjal because it
168.96	3.84	might be quicker just run through that
170.40	3.84	okay cool
172.80	2.96	like the exciting stuff i feel like is
174.24	3.60	in bt
175.76	4.32	you might want to do trash first also
177.84	4.00	what's a good idea all right um and i'm
180.08	3.76	gonna put um
181.84	3.68	your guys's logs in the description for
183.84	3.28	the video so people can see
185.52	3.52	uh
187.12	5.52	your pumping skills
189.04	5.68	um all right let's start with trash
192.64	3.44	another void cloak we think we saw a
194.72	2.88	couple of these actually on the pcr
196.08	3.60	recently
197.60	4.00	yeah so on ptr i think it was noticeable
199.68	3.68	that trash drops dropped a lot
201.60	3.28	especially the recipes dropped a lot
203.36	3.28	yeah a lot of these things are basically
204.88	2.96	going to be free
206.64	2.48	um
207.84	3.36	this cloak in particular i think is
209.12	4.16	basically like third biss for warlocks
211.20	3.76	it's kind of like this the step up
213.28	5.68	option that you can get
214.96	7.36	oh my gosh what a griefer what is this
218.96	5.36	heard they updated ptr already dead
222.32	4.80	are you on ptr
224.32	5.44	yeah i can sit just do it alive no it's
227.12	3.52	more fun being in illidan's room or in
229.76	2.00	black
230.64	2.64	okay
231.76	4.08	i was like this doesn't matter
233.28	4.96	backgrounds are best man come on
