0.64	3.84	what up boys welcome to the stream we
2.96	4.32	are going to be playing world of
4.48	5.12	warcraft today doing mount hydrogen and
7.28	4.88	black temple on our pumper warlock doing
9.60	4.32	some big shadow bolts very very big
12.16	3.44	shadow boats okay that's the plan thank
13.92	3.60	you for listening like today we're going
15.60	2.96	to get some 99 parses though that's for
17.52	2.80	sure
18.56	4.80	this is the new lookout right then you
20.32	4.80	see season of parses because they reset
23.36	3.52	everything i think so i don't have any
25.12	4.32	parses right now i mean bro i'll be
26.88	4.32	pretty mad if i don't do high dps hey
29.44	3.36	like this this four set is really really
31.20	2.32	good it's going to get a better weapon
32.80	2.40	man
33.52	3.76	but bro i don't have to explain to you
35.20	4.48	there's nothing more fun than logging
37.28	3.84	into tbc and raiding like if like it
39.68	3.12	doesn't make any sense like like you
41.12	3.28	know you have a raid you're like on the
42.80	5.52	pc and then you're like logan and race
44.40	6.56	like so chill bro so chill bro i hate
48.32	5.76	this game can i quit please
50.96	5.28	i'm going back to [ __ ] i have 44 crit
54.08	4.56	chance dude look at my dps i don't even
56.24	3.92	know the damage meter how is this even
58.64	3.92	mathematically i'm gonna crit now i'm
60.16	4.32	gonna quit now it's gonna average out
62.56	7.28	i beat lmgd guys
64.48	8.84	27 percent so bad it's so bad ah
69.84	3.48	this is the
73.36	3.52	but yeah it's all good boys we just
74.88	5.04	wasted our bad luck on the first fight
76.88	6.40	in this entire raid and from now on it's
79.92	5.12	gonna be only big crits here we go guys
83.28	4.08	we have a big dog stacked up by the
85.04	4.72	blacksmiths there we go
87.36	4.16	there they are
89.76	3.60	and they're gone i'm getting serious
91.52	4.24	very nice with the top 10 that's good
93.36	4.24	performance i think melee access on high
95.76	3.76	shield because the bosses have low armor
97.60	3.52	yeah and also because like one of the
99.52	3.76	fight silences people and the other
101.12	3.68	fight has like mechanics for arranged
103.28	3.92	where they get knocked away and have to
104.80	4.96	spread right like this is hygiene top
107.20	5.76	dps overall
109.76	4.64	big crits boys very big crits
112.96	3.36	this is not like the worst fight for
114.40	3.44	warlocks i guess
116.32	4.16	it's like we don't have mana shoes and
117.84	4.32	our classes sometimes do so
120.48	3.52	we can like just keep pumping right it's
122.16	4.24	gotta tap a bit more you know
124.00	5.60	almost stopped me we are so close i
126.40	5.60	needed a shadow ball to land on chris
129.60	3.84	i hate this boss
132.00	4.96	i need to find out if it's worth to
133.44	3.52	agony when you have four sets
137.04	4.28	that's some [ __ ] loot bro
142.00	2.16	dude
144.24	5.04	that was a really really good tremor man
146.96	3.60	what is this flame though what the [ __ ]
149.28	3.28	nice stack
150.56	3.68	that guy over like people would like be
152.56	3.44	so strict about spreading now i feel
154.24	3.68	like everyone's just like yolos
156.00	4.40	no one spreads anymore it's not like a
157.92	3.92	big deal honestly right as long as you
160.40	2.96	close your eyes that's what matters
161.84	2.72	right but it's just so funny because i
163.36	3.44	remember people would be like yo you
164.56	6.64	gotta spread man if you if you knock one
166.80	6.80	more guy up it's a it's a wipe bro
171.20	4.64	dude he moved on me
173.60	2.24	tricks
175.92	3.68	and this boss is so awful for uh doing
178.32	2.80	damages okay
179.60	3.20	how do you do damage i guess you just
181.12	3.68	don't get knocked you don't get the fire
182.80	4.00	chasing you like this you know
184.80	4.48	the people say like one guy dies it's a
186.80	4.80	wipe it it's not dude look at this
189.28	4.32	do not drop the two-hander please i'm
191.60	3.92	sick of seeing the two-hander
193.60	3.60	oh i told you
195.52	3.20	president quick please personally quick
197.20	3.52	please remind me very quick
198.72	4.64	this rogue is owning the damage meters
200.72	4.24	today holy [ __ ] it's like top media
203.36	3.20	i want to have a rogue as well but
204.96	4.48	they're just like they need so much gear
206.56	6.12	man i don't want more dst characters bro
209.44	3.24	i'm good
214.48	3.60	tapping after like a chat bro so tapping
216.72	3.12	during the shield
218.08	4.00	but please so watch watch where the [ __ ]
219.84	4.48	you're going no boots such
222.08	5.28	injury i will delay the doom here
224.32	3.04	so i don't fully
238.80	3.12	not a bad idea
240.48	3.28	i want to get a foot pedal to play
241.92	3.44	arcane major on warlock i just hold down
243.76	3.76	the pattern and i press shadow both or
245.36	5.60	came last year like it would be so chill
247.52	4.56	now crossbows now bro yeah boy
250.96	4.24	not again
252.08	4.24	there ruxmanburg donated three euros
255.20	2.96	joker
256.32	4.40	tell you what i will never skip another
258.16	6.84	donation tonight go ahead bro i don't
260.72	9.08	give a [ __ ] paul no one donated three
265.00	4.80	euros are you guys enjoying this
278.16	5.04	my great fear is that lmg dmmr will
280.88	4.48	start streaming more and i will lose all
283.20	3.44	my money
285.36	3.84	oh [ __ ]
286.64	4.64	but they like run towards
289.20	4.24	it
291.28	2.16	bro
293.84	8.24	dear diary i'm the scatman ski by www
298.16	5.84	dubbed dub skin by the medication
302.08	3.60	what are you guys even donating man like
304.00	2.96	like how does everybody even
305.68	4.64	tank them because they'll run up to the
306.96	3.36	halos this is the best you can do
323.12	3.76	two the last one pull on this fight is
324.96	3.28	so good though you just gotta watch your
326.88	2.72	threats right
328.24	3.12	oh there's nothing that they found no
329.60	3.44	they made it normalize them so if you
331.36	3.36	wanna parse you just gotta do as much
333.04	3.92	damage as you can
334.72	4.00	uh your damage doesn't like
336.96	4.00	count as extra when you get the buff it
338.72	4.88	just gets divided by whatever your
340.96	5.28	vineyard is thinking
343.60	7.32	now what it is today
346.24	4.68	ah that's some dog loot man
352.08	4.40	look that's that's nice three in a row
359.20	4.28	i actually quit so many
374.08	3.04	he already took the sword from
375.60	3.44	archimonde
377.12	3.92	we one shot mother by the way no way
379.04	5.20	we're gonna wipe
381.04	5.20	shadow damage done increased
384.24	3.84	nice
386.24	5.28	where are the crits uh
388.08	3.44	me quitting of my warlock
391.68	3.36	i thought i have 50 good chance or
393.68	3.52	something right
395.04	4.96	nah don't worry about it dude my word
397.20	2.80	looks [ __ ] bro
400.56	5.44	so far we are rocking an amazing um 15
404.08	4.32	[ __ ] crit chance we're gonna we're
406.00	4.48	gonna quit a lot now oh that's the bad
408.40	3.60	one oh if i crit now of course i'm gonna
410.48	3.28	quit during this
412.00	3.44	[ __ ] you man
413.76	4.32	of course i quit during this [ __ ]
415.44	5.52	buff i i hate this game man
418.08	5.76	it's so toxic bill gates is like uh
420.96	2.88	griefing me dude
425.36	5.84	i can't i can't man i can't i can't deal
428.48	3.92	with the [ __ ] anymore hey bro
431.20	4.60	some of that
432.40	3.40	bro juice
436.16	4.24	i'm pressing one button you think i'm
437.84	5.44	pressing one on my keyboard every 2.5
440.40	5.28	seconds i'm spamming the [ __ ] out of it
443.28	5.44	i'm pressing that ability 50 times at
445.68	6.04	global all right my finger has a six
448.72	3.00	pack
461.92	3.92	dude
463.28	4.72	holy [ __ ]
465.84	3.76	we are unloading
468.00	3.04	oh
469.60	4.00	damn
471.04	5.60	let's go dude i was pumping on this boss
473.60	6.48	i was like creating so much i wasted
476.64	5.76	53 percent christians pull
480.08	4.88	the highest christians i've had all day
482.40	4.40	on any boss on a wipe
484.96	4.16	it was a good pool though bro apartment
486.80	2.32	man
489.28	3.28	buckle
490.56	4.96	uh the crystal the crystal
492.56	6.72	and the doom bro this is nice
495.52	5.76	that was a 6k curse of doom how
499.28	3.20	and the shoulders here they come boys
501.28	3.20	hey
502.48	3.92	what did i say bro this kind of weapon
504.48	3.76	is pissing me off how how do you get
506.40	3.36	better weapons like did you just leave
508.24	4.00	them or what how does it work all right
509.76	4.80	it's time for big boy illidan
512.24	4.40	and this boss has some amazing loot and
514.56	3.76	i'm hoping guys that he drops an item
516.64	4.16	that i really really want which is
518.32	5.04	called shard of astronauts all right so
520.80	4.96	uh i just want to use shadow vessel
523.36	4.80	i'm pumping boys i'm pumping i'm popping
525.76	4.48	so hard right now this damage is insane
528.16	4.16	pom pom pom pom pom pom pom pom pom pom
530.24	4.08	pom pom you don't have the debuff easy
532.32	3.20	one shot guys
534.32	3.28	come on man
535.52	3.92	come on dude all right give me the skull
537.60	3.28	okay show me the skull bro show me the
539.44	4.92	skull shot
540.88	3.48	bro just perspective
548.13	3.09	[Music]
559.68	3.68	with a shield here why would you care
561.68	2.96	about it
563.36	2.64	now if it drops next week it's
564.64	3.36	disenchanted
566.00	3.68	or it's off of smoking
568.00	3.04	you're pretty fast the trinket is more
569.68	2.48	hype
571.04	3.76	trust me
572.16	4.80	drink it is more hype no it's like [ __ ]
574.80	2.16	you know
577.68	3.64	trinket man that's awesome
584.07	8.09	[Music]
590.08	2.08	you
