0.56	6.48	Yo, hey, what's up guys? Thank 64 video.
4.48	4.08	And since I fought, I'm pretty close to
7.04	3.60	3K subs actually, which I'm really
8.56	4.24	grateful about, by the way. Obviously.
10.64	5.12	Um, yeah, has been a kind of an amazing
12.80	4.40	journey to be honest. Uh, it's also so
15.76	4.00	motivating, you know, seeing the numbers
17.20	4.32	go up. But, uh, I thought I kind of give
19.76	5.12	something back here. I make like a fury
21.52	5.68	warrior, uh, bestin slot guide.
24.88	5.04	The thing is, um, I did this for
27.20	4.88	previous phases as well. This is a bit
29.92	5.60	early, I know. Um, I don't think there's
32.08	4.80	even a fight club 60 upgrade set up yet.
35.52	2.56	I could be wrong about this. I haven't
36.88	4.16	checked recently, but I'm pretty sure
38.08	4.96	there's not. So, I thought I, you know,
41.04	4.88	I did a bit of work here. I did some
43.04	4.64	sims and such, and I came up with three
45.92	3.68	different sets.
47.68	4.88	We have one which is going to be the bis
49.60	4.40	bis bassin sword setup. Um we have one
52.56	3.36	setup which is going and then we have
54.00	4.16	two setups which are just going to be
55.92	5.12	the more realistic setup for like most
58.16	5.12	people. Um because obviously especially
61.04	3.68	this setup is B. This is just an oiler
63.28	4.64	setup. Okay, let's be honest here. Like
64.72	5.76	if you have I don't know 200k gold, if
67.92	4.16	you have multiple gold cap and you enter
70.48	3.52	like these hidden GKPS, obviously you
72.08	4.40	can get everything from here. Um but
74.00	4.32	otherwise it's impossible. Uh just let
76.48	4.32	me be honest here. But yeah, that's
78.32	5.12	that. Also, another thing before we
80.80	3.92	start because recently also since my
83.44	3.60	channel got a bit more attention
84.72	4.64	nowadays and such, I'm getting some
87.04	4.00	really insanely comments. And
89.36	3.44	don't worry guys, you have been naughty.
91.04	3.20	You know, you you're going to get you
92.80	3.68	spot liked as well. Don't worry about
94.24	5.20	it. I have prepared something. So, um
96.48	4.72	yeah, that will be a separate video.
99.44	3.12	I will not talk about this for a long
101.20	3.36	really long time. But yeah, some people
102.56	3.92	are just really really, you know,
104.56	4.56	they've been kind of naughty and some
106.48	5.12	some kind of weird comments or whatever.
109.12	4.64	Let's get into this video. And again,
111.60	6.80	this is going to be the best best in
113.76	6.00	gear. Um, if you check the gear setup,
118.40	3.76	which is going to be on the wall sims,
119.76	4.24	it uses kind of a different setup. It
122.16	3.68	uses like midnight chest guard and also
124.00	3.76	different gems. However, I don't know
125.84	3.68	why, but that's like completely wrong.
127.76	3.76	Um, they're just worse, especially the
129.52	3.52	setup because it goes like for the set
131.52	3.44	bonus for this one for free agility
133.04	3.68	which is like worthless on a warrior.
134.96	2.80	Like agility is really bad on warrior. I
136.72	2.88	will probably make a separate video
137.76	4.00	about that as well talking about stats
139.60	4.16	and not really worthless but it's like
141.76	4.08	pretty bad unless you get like a lot of
143.76	5.04	it. But yeah. Okay, let's go over the
145.84	5.52	items and talk about them here. So,
148.80	4.96	first of all, what do we have? Cursed
151.36	3.76	vision of Sagaras. Many of these items I
153.76	4.40	would not give to a warrior first.
155.12	5.44	Actually, this is one of them. So,
158.16	4.16	cursed vision of Sagaras. Um, I actually
160.56	4.56	have kind of some fond memories about
162.32	4.88	this item particularly because I have I
165.12	4.96	was the first person who got this in our
167.20	5.28	more casual guild in the last CBC.
170.08	4.16	And actually, they they kind of made
172.48	3.60	jokes about it wanting to get it back
174.24	3.12	because my warrior was kind of ugly
